Date,Returns
2015-05-04,0.01101698216923741
2015-05-05,-0.004101567741377599
2015-05-06,0.004897779458192364
2015-05-07,0.0028309021820691616
2015-05-08,-0.004181421076715486
2015-05-11,0.005700788791720868
2015-05-12,-0.00996061505291046
2015-05-13,2.3504972362697885e-05
2015-05-14,0.003680709367275048
2015-05-15,-0.0010552064091959856
2015-05-18,-0.00556932572692681
2015-05-19,0.008049815902920754
2015-05-20,-0.00048625251129152947
2015-05-21,-0.002624254022617012
2015-05-22,-0.005374704498750882
2015-05-25,0.0006299582416915417
2015-05-26,-0.0009139936427755568
2015-05-27,-0.00129701650820635
2015-05-28,0.008407565219344715
2015-05-29,0.008316866600065254
2015-06-01,0.001402867146006015
2015-06-02,0.003589641922254083
2015-06-03,-0.0072935700602887454
2015-06-04,0.0006087803756182897
2015-06-05,0.0014927917700264803
2015-06-08,-0.000932659182674267
2015-06-09,-0.002030290992842021
2015-06-10,-0.0037935966548342526
2015-06-11,0.00032953773320731905
2015-06-12,0.005878024042268892
2015-06-15,0.006708135018124173
2015-06-16,0.00015310104690269277
2015-06-17,0.005483954724671447
2015-06-18,-0.004510950974567218
2015-06-19,0.0029719110669805815
2015-06-22,-0.00040936944365921324
2015-06-23,-0.0032560174772470196
2015-06-24,0.01093376590195927
2015-06-25,-0.0022111714966805973
2015-06-26,-0.0016713565120405338
2015-06-29,-0.00214438117855964
2015-06-30,0.001883760269360657
2015-07-01,0.006897051327061865
2015-07-02,-0.005600886100994185
2015-07-03,0.0025385573405585227
2015-07-06,0.0018937067576194622
2015-07-07,-0.00789765436147638
2015-07-08,0.006908418622627588
2015-07-09,0.0015003929528298876
2015-07-10,0.003769550255042775
2015-07-13,-0.010212579093688445
2015-07-14,0.0074769617752472595
2015-07-15,0.010454553448955295
2015-07-16,-0.0005961595157025767
2015-07-17,-0.0034613889299682787
2015-07-20,-0.012089137816066797
2015-07-21,-0.0063306453442550925
2015-07-22,0.004339605332572383
2015-07-23,-6.867256673870337e-06
2015-07-24,-0.007429790100508926
2015-07-27,0.0077827708343900515
2015-07-28,-0.0031893814149016597
2015-07-29,-0.007240349369507237
2015-07-30,0.00038089886845726895
2015-07-31,0.0027075369580653597
2015-08-03,-0.006541161103267079
2015-08-04,-0.0013441548215403776
2015-08-05,0.007849387060333335
2015-08-06,-0.0066169366878080504
2015-08-07,0.0019110697308157842
2015-08-10,-0.001427950874412498
2015-08-11,0.002839620547127275
2015-08-12,-0.005081037110230224
2015-08-13,0.0013261574528999898
2015-08-14,-0.0046099558820525965
2015-08-17,-0.009847505919297173
2015-08-18,-0.006894897153948976
2015-08-19,-0.0009319025338845321
2015-08-20,0.0013272487000657307
2015-08-21,0.0062115900511041655
2015-08-24,0.001948960247539544
2015-08-25,0.007951515923102948
2015-08-26,-0.0008472252897931964
2015-08-27,0.002917419216899697
2015-08-28,-0.004748881287535256
2015-08-31,0.0017307548218152835
2015-09-01,-0.0017081206723080777
2015-09-02,-0.0022546991429298613
2015-09-03,0.0005134082700428699
